EncImg3	Cue1	Cue2	Alternative1	Alternative2	ExtLure1	ExtLure2	TrialType
279_01.jpg	279_kreis01.png	279_kreis02.png	JPEG\279_01.jpg	JPEG\279_02.jpg	JPEG\81_01.jpg	JPEG\81_02.jpg	1
553_01.jpg	553_kreis01.png	553_kreis02.png	JPEG\553_01.jpg	JPEG\553_02.jpg	JPEG\81_02.jpg	JPEG\81_01.jpg	1
101_01.jpg	101_kreis01.png	101_kreis02.png	JPEG\101_01.jpg	JPEG\101_02.jpg	JPEG\85_01.jpg	JPEG\179_02.jpg	1
462_02.jpg	462_kreis01.png	462_kreis02.png	JPEG\462_01_1.jpg	JPEG\462_02_1.jpg	JPEG\462_03_1.jpg	JPEG\462_03_1.jpg	0
303_02.jpg	303_kreis01.png	303_kreis02.png	JPEG\303_01_1.jpg	JPEG\303_02_1.jpg	JPEG\303_03_1.jpg	JPEG\303_03_1.jpg	0
87_01.jpg	87_kreis01.png	87_kreis02.png	JPEG\87_01.jpg	JPEG\87_02.jpg	JPEG\522_01.jpg	JPEG\522_02.jpg	1
154_01.jpg	154_kreis01.png	154_kreis02.png	JPEG\154_01.jpg	JPEG\154_02.jpg	JPEG\522_02.jpg	JPEG\522_01.jpg	1
341_01.jpg	341_kreis01.png	341_kreis02.png	JPEG\341_01.jpg	JPEG\341_02.jpg	JPEG\534_02.jpg	JPEG\258_02.jpg	1
120_01.jpg	120_kreis01.png	120_kreis02.png	JPEG\120_01.jpg	JPEG\120_02.jpg	JPEG\258_02.jpg	JPEG\534_02.jpg	1
119_01.jpg	119_kreis01.png	119_kreis02.png	JPEG\119_01.jpg	JPEG\119_02.jpg	JPEG\51_01.jpg	JPEG\62_02.jpg	1
122_01.jpg	122_kreis01.png	122_kreis02.png	JPEG\122_01.jpg	JPEG\122_02.jpg	JPEG\62_02.jpg	JPEG\51_01.jpg	1
302_01.jpg	302_kreis01.png	302_kreis02.png	JPEG\302_01.jpg	JPEG\302_02.jpg	JPEG\532_01.jpg	JPEG\502_01.jpg	1
159_01.jpg	159_kreis01.png	159_kreis02.png	JPEG\159_01.jpg	JPEG\159_02.jpg	JPEG\502_01.jpg	JPEG\532_01.jpg	1
505_01.jpg	505_kreis01.png	505_kreis02.png	JPEG\505_01.jpg	JPEG\505_02.jpg	JPEG\267_02.jpg	JPEG\127_01.jpg	1
214_01.jpg	214_kreis01.png	214_kreis02.png	JPEG\214_01.jpg	JPEG\214_02.jpg	JPEG\127_01.jpg	JPEG\267_02.jpg	1
290_01.jpg	290_kreis01.png	290_kreis02.png	JPEG\290_01.jpg	JPEG\290_02.jpg	JPEG\645_01.jpg	JPEG\313_01.jpg	1
254_01.jpg	254_kreis01.png	254_kreis02.png	JPEG\254_01.jpg	JPEG\254_02.jpg	JPEG\313_01.jpg	JPEG\645_01.jpg	1
392_01.jpg	392_kreis01.png	392_kreis02.png	JPEG\392_01.jpg	JPEG\392_02.jpg	JPEG\394_01.jpg	JPEG\170_01.jpg	1
469_01.jpg	469_kreis01.png	469_kreis02.png	JPEG\469_01.jpg	JPEG\469_02.jpg	JPEG\170_01.jpg	JPEG\394_01.jpg	1
